"@title","Việt Nam"
"#00765","Nap Card Set"
"#00766","Sale Card Set"
"#00767","Shelf Card Set"
"#00768","Award Card Set"
"#00769","Aura Card Set"
"#00770","Staff Rest Card Set"
"#00771","♪ Card Set"
"#00772","Rank 3 Set"
"#00773","Rank 6 Set"
"#00774","Rank 9 Set"
"#00775","Rank 12 Set"
"#00776","Rank 15 Set"
"#00777","Rank 18 Set"
"#00778","Rank 21 Set"
"#00779","Rank 24 Set"
"#00780","Rank 27 Set"
"#00781","Rank 30 Set"
"#00782","Rank 33 Set"
"#00783","Rank 36 Set"
"#00784","Rank 39 Set"
"#00785","Rank 42 Set"
"#00786","Rank 45 Set"
"#00787","Rank 48 Set"
"#00788","Rank 51 Set"
"#00789","Rank 54 Set"
"#00790","Rank 57 Set"
"#00791","Rank 60 Set"
"#00792","Rank 63 Set"
"#00793","Rank 66 Set"
"#00794","Rank 69 Set"
"#00795","Rank 72 Set"
"#00796","Rank 75 Set"
"#00797","Rank 78 Set"
"#00798","Rank 81 Set"
"#00799","Rank 84 Set"
"#00800","Rank 87 Set"
"#00801","Rank 90 Set"
"#00802","Rank 93 Set"
"#00803","Rank 96 Set"
"#00804","Rank 99 Set"
"#00805","Business As Usual: +10%"
"#00806","Your store is slightly busier than usual!"
"#00807","Business As Usual: +15%"
"#00808","Signs Of Popularity: +20%"
"#00809","All signs point to your store getting busier!"
"#00810","Popularity Up: +30%"
"#00811","Your store is very popular! Expect a lot of customers!"
"#00812","The Next Big Thing: +40%"
"#00813","You've started a new trend! Business has suddenly increased!"
"#00814","On The Offense: +70%"
"#00815","Business is booming! This may help you pull ahead of your rival!"
"#00816","On The Offense: +40%"
"#00817","Management Crisis: -20%"
"#00818","Reduced vitality is affecting your store's business..."
"#00819","Rival On The Rise: -5%"
"#00820","Your rival's popularity is causing your business to suffer."
"#00821","Rival On The Rise: -10%"
"#00822","Rival On The Rise: -30%"
"#00823","Rival On The Rise: -60%"
"#00824","Rival On The Rise: -80%"
"#00825","Your rival is so popular that your business has greatly decreased."
"#00826","Smash Hit Game!: +70%"
"#00827","Your game store started a new trend! Business has suddenly increased!"
"#00828","Popular Game Release: +40%"
"#00829","Your game store is very popular! Expect a lot of customers!"
"#00830","Game Store Levels Up: +35%"
"#00831","All signs point to your game store getting busier!"
"#00832","Game Store Is Heating Up: +15%"
"#00833","Game Business As Usual: +10%"
"#00834","Burger Boom: +70%"
"#00835","Your burger bar started a new trend! Business has suddenly increased!"
"#00836","Burger Bar Sizzles: +40%"
"#00837","Your burger bar is very popular! Expect a lot of customers!"
"#00838","Fast Food Frenzy: +35%"
"#00839","All signs point to your burger bar getting busier!"
"#00840","Burger Bar Is Heating Up: +15%"
"#00841","Burger Business As Usual: +10%"
"#00842","Trendsetter: +70%"
"#00843","Your boutique started a new trend! Business has suddenly increased!"
"#00844","Boutique's In Fashion: +40%"
"#00845","Your boutique is very popular! Expect a lot of customers!"
"#00846","Fashion Forward: +35%"
"#00847","All signs point to your boutique getting busier!"
"#00848","Boutique Is Heating Up: +15%"
"#00849","Clothes Business As Usual: +10%"
"#00850","Book Boom: +70%"
"#00851","Your bookstore started a new trend! Business has suddenly increased!"
"#00852","Reading Is For Everyone: +40%"
"#00853","Your bookstore is very popular! Expect a lot of customers!"
"#00854","Book 'Em: +35%"
"#00855","All signs point to your bookstore getting busier!"
"#00856","Bookstore Is Heating Up: +15%"
"#00857","Book Business As Usual: +10%"
"#00858","Noodle Boom: +70%"
"#00859","Your noodle bar started a new trend! Business has suddenly increased!"
"#00860","Popular Potstickers: +40%"
"#00861","Your noodle bar is very popular! Expect a lot of customers!"
"#00862","Nascent Noodles: +35%"
"#00863","All signs point to your noodle bar getting busier!"
"#00864","Noodles Are Heating Up: +15%"
"#00865","Noodle Business As Usual: +10%"
"#00866","Bread Boom: +70%"
"#00867","Your bakery started a new trend! Business has suddenly increased!"
"#00868","Making Dough: +40%"
"#00869","Your bakery is very popular! Expect a lot of customers!"
"#00870","Bread Is Rising: +35%"
"#00871","All signs point to your bakery getting busier!"
"#00872","Bakery Is Heating Up: +15%"
"#00873","Bread Business As Usual: +10%"
"#00874","Street Food Boom: +70%"
"#00875","Your street stands started a new trend! Business has suddenly increased!"
"#00876","Block Party: +40%"
"#00877","Your street stands are very popular! Expect a lot of customers!"
"#00878","Street Smarts: +35%"
"#00879","All signs point to your street stands getting busier!"
"#00880","Street Stands Are Heating Up: +15%"
"#00881","Street Business As Usual: +10%"
"#00882","Museum Boom: +70%"
"#00883","Your museum started a new trend! Business has suddenly increased!"
"#00884","Museum Mayhem: +40%"
"#00885","Your museum is very popular! Your Visit Rate is on the rise!"
"#00886","Historical Popularity: +35%"
"#00887","All signs point to your museum getting busier!"
"#00888","Museum Is Heating Up: +15%"
"#00889","Museum Business As Usual: +10%"
"#00890","(Jan) New Year's Jackpot: +70%"
"#00891","You hit the jackpot! You can expect a huge number of customers!"
"#00892","(Jan) New Year's Sales: +30%"
"#00893","(Jan) A Quiet New Year's: +10%"
"#00894","(Feb) Cold? What Cold?: +70%"
"#00895","Despite the cold weather, you can expect a huge number of customers!"
"#00896","(Feb) Business As Usual: +15%"
"#00897","(Feb) Bitter Cold: -10%"
"#00898","The bitter cold will keep people in their homes--and out of your store!"
"#00899","(Mar) Spring Thaw: +70%"
"#00900","Unseasonably warm weather will bring a huge number of customers!"
"#00901","(Mar) Business As Usual: +15%"
"#00902","(Mar) High Pollen Count: -10%"
"#00903","High pollen count may keep customers away..."
"#00904","(Apr) A Booming Economy!: +70%"
"#00905","Thanks to a booming economy, you can expect huge numbers of customers!"
"#00906","(Apr) Business As Usual: +15%"
"#00907","(Apr) Economic Downturn: -30%"
"#00908","A slumping economy will tighten customers' purse strings..."
"#00909","(May) Spring In Full Swing: +85%"
"#00910","Perfect weather encourages big spending! You can expect a huge number of customers!"
"#00911","(May) Spring In Full Swing: +40%"
"#00912","(May) Business As Usual: +15%"
"#00913","(Jun) When It Rains...: +70%"
"#00914","Maybe they're just looking for shelter, but your business is way up!"
"#00915","(Jun) Business As Usual: +15%"
"#00916","(Jun) Rain, Rain Go Away: -10%"
"#00917","The incessant rain seems to be keeping customers away..."
"#00918","(Jul) Summer Fun!: +70%"
"#00919","Everyone's celebrating summertime with a shopping spree!"
"#00920","(Jul) Business As Usual: +15%"
"#00921","(Jul) It's Not The Heat...: -10%"
"#00922","Record temperatures are keeping people at home..."
"#00923","(Aug) Summer Jackpot: +100%"
"#00924","=#00891"
"#00925","(Aug) Summer Sales: +70%"
"#00926","(Aug) Dog Days of Summer: -10%"
"#00927","Heat waves encourage potential customers to stay at home..."
"#00928","(Sep) Summertime Spirit: +70%"
"#00929","The weather may be cooler, but business isn't cooling off!"
"#00930","(Sep) Business As Usual: +15%"
"#00931","(Sep) Lingering Heat: -10%"
"#00932","Late summer heat is discouraging shopping."
"#00933","(Oct) Outing Weather: +70%"
"#00934","Everyone is going out to enjoy the fall weather--and do some shopping!"
"#00935","(Oct) Business As Usual: +15%"
"#00936","(Oct) Economic Doldrums: -10%"
"#00937","=#00908"
"#00938","(Nov) Strolling Weather: 70%"
"#00939","(Nov) Business As Usual: +15%"
"#00940","(Nov) Autumn Blues: -10%"
"#00941","(Dec) Christmas Jackpot: +100%"
"#00942","=#00891"
"#00943","(Dec) Christmas Sales: +70%"
"#00944","(Dec) A Cold Winter: -20%"
"#00945","Even Christmas can't seem to warm up your customers' wallets."
"#00946","Path"
"#00947","A path that customers follow."
"#00948","Tile Path"
"#00949","Wooden Path"
"#00950","Blue Path"
"#00951","Register (S)"
"#00952","Each store has at least 1."
"#00953","Register (L)"
"#00954","Material Depot"
"#00955","Refilled every morning & afternoon."
"#00956","Staff Room"
"#00957","A space for staff to relax."
"#00958","Double Shelf"
"#00959","For displaying merchandise."
"#00960","Large Shelf"
"#00961","Hanger Rack"
"#00962","Horiz. Rack"
"#00963","Bookshelf"
"#00964","Wagon Shelf"
"#00965","Bread Shelf"
"#00966","Cool Case"
"#00967","Pipe Shelf"
"#00968","Showcase"
"#00969","Pedestal"
"#00970","Exhibit attracts customers."
"#00971","Picture"
"#00972","Statue"
"#00973","Crown"
"#00974","Relic"
"#00975","Creature"
"#00976","Artifact"
"#00977","Noodle Booth"
"#00978","Contributes to sales."
"#00979","Target Booth"
"#00980","Flea Market"
"#00981","Curry Stand"
"#00982","Ice Booth"
"#00983","Crepe Stand"
"#00984","Takoyaki Stand"
"#00985","Toilets"
"#00986","Trampoline"
"#00987","Chicken Stand"
"#00988","Hot Dog Stand"
"#00989","Tree"
"#00990","May boost nearby prices."
"#00991","Counter Table"
"#00992","A dining space for 1."
"#00993","Single Table"
"#00994","Table"
"#00995","A dining space for 2."
"#00996","Burger Table"
"#00997","Noodle Table"
"#00998","=#00946"
"#00999","Limits customer travel paths."
"#01000","ATM"
"#01001","Refills customers' wallets."
"#01002","Waiting Area"
"#01003","Customers form groups here."
"#01004","Rest Area"
"#01005","Baskets"
"#01006","Boosts nearby quality."
"#01007","Carts"
"#01008","Vend-o-matic"
"#01009","Gift Shop"
"#01010","Toy Capsules"
"#01011","Boosts users' spending."
"#01012","Arcade Game"
"#01013","Crane Game"
"#01014","Helps to stop customers."
"#01015","Photo Booth"
"#01016","Slows down customers."
"#01017","Insurance Agent"
"#01018","Fortune Teller"
"#01019","Sketch Artist"
"#01020","Souvenirs"
"#01021","Counter Bar"
"#01022","Security Guard"
"#01023","=#01016"
"#01024","Hangers"
"#01025","Mannequin"
"#01026","Returns customers to the door."
"#01027","Fitting Room"
"#01028","=#01014"
"#01029","Red Flowers"
"#01030","Boosts nearby appeal."
"#01031","Potted Plant"
"#01032","Plant"
"#01033","Boosts nearby prices."
"#01034","Umbrella Stand"
"#01035","Light"
"#01036","Tray Holder"
"#01037","Tongs & Trays"
"#01038","Coin Lockers"
"#01039","Drink Corner"
"#01040","Magazine Rack"
"#01041","TV"
"#01042","Notice Board"
"#01043","Hotspot"
"#01044","Cat Statue"
"#01045","Stereo"
"#01046","Phonograph"
"#01047","Piano"
"#01048","=#01026"
"#01049","Aquarium"
"#01050","Sample Dishes"
"#01051","Glass Wall"
"#01052","Partition"
"#01053","Comfy Sofa"
"#01054","A place for customers to rest."
"#01055","Resting Sofa"
"#01056","Break Couch"
"#01057","Product Demo"
"#01058","May create gift boxes."
"#01059","Bike Rack"
"#01060","Lets customers come on bikes."
"#01061","Wall Lamp"
"#01062","Wall Clock"
"#01063","Painting"
"#01064","Burger Poster"
"#01065","Bread Poster"
"#01066","Air Con."
"#01067","Food Shelf"
"#01068","For temporary food storage."
"#01069","Food Shelf (L)"
"#01070","Brick Oven"
"#01071","For baking bread."
"#01072","Stove"
"#01073","For cooking with an open flame."
"#01074","Gourmet Stove"
"#01075","For boiling food."
"#01076","Sink"
"#01077","Boosts backroom env./efficiency."
"#01078","Drink Machine"
"#01079","For preparing drinks."
"#01080","Fryer"
"#01081","For preparing fried foods."
"#01082","Work Space"
"#01083","For preparing fresh foods."
"#01084","Wash Basin"
"#01085","Microwave"
"#01086","For warming up food."
"#01087","Telephone"
"#01088","Refrigerator"
"#01089","For preparing cold foods."
"#01090","Cleaning Tools"
"#01091","Work Table"
"#01092","Schedule"
"#01093","Fan (L)"
"#01094","Fan"
"#01095","Clock"
"#01096","Store Sign"
"#01097","Brings passersby into a store."
"#01098","Trash Can"
"#01099","Flag"
"#01100","Mailbox"
"#01101","Garland"
"#01102","Pay Phone"
"#01103","Sign Board"
"#01104","Leafy Plant"
"#01105","Food Samples"
"#01106","Lantern"
"#01107","Neon Sign"
"#01108","Flower Bed"
"#01109","Fountain"
"#01110","Burger Sign"
"#01111","Noodle Sign"
"#01112","Bakery Sign"
"#01113","Stand Sign"
"#01114","Clothing Sign"
"#01115","Game Store Sign"
"#01116","Bookstore Sign"
"#01117","Museum Sign"
"#01118","Bench"
"#01119","Wall Monitor"
"#01120","Store Poster"
"#01121","Lamp"
"#01122","Window"
"#01123","Bushes"
"#01124","Fence"
"#01125","Street Lamp"
"#01126","Customer"
"#01127","Store"
"#01128","Move"
"#01129","Product"
"#01130","Prize"
"#01132","Basic Store"
"#01133","Game Store"
"#01134","Burger Bar"
"#01135","Boutique"
"#01136","Bookstore"
"#01137","Noodle Bar"
"#01138","Bakery"
"#01139","Street Stands"
"#01140","Museum"
"#01141","Hello!"
,"I'll be your secretary here in <name>."
,"I look forward to working with you!"
"#01142","Year number 1 is about to end."
"#01143","Year number 20 is about to end."
"#01144","Too bad... That store has been shut down."
"#01145","You seem to have enough manager-class employees."
,"Try again after dismissing one of your current managers."
"#01146","I see... That's too bad, but I understand."
,"I'll start the procedures for shutting the store down, then."
"#01147","Boss! Now we don't have any stores..."
"#01148","Let's try again! I'm sure we can make a great store!"
"#01149","You don't seem to have a store..."
"#01150","Welcome!"
"#01151","Thank you!"
"#01152","Not enough funds..."
"#01153","Not enough hearts..."
"#01154","Not enough coins..."
"#01155","Not enough points..."
"#01156","Hmm... We don't seem to have enough left in the budget."
,"Let's look into it when <co=0070c0>next year's budget</co> comes out."
"#01157","Uh-oh... You don't have anything that you can sell."
,"Goods for sale will be refreshed in a few months."
"#01158","Oh, you don't seem to have anything that I can buy. Feel free to try again later."
"#01159","You don't seem to have any items."
"#01160","You put <co=0070c0><0></co> in charge of the store."
,"It will be run as an ""auto-pilot store"" from now on. I'm sure it'll work out well!"
"#01161","This is a big responsibility!"
,"I'll return the staff who had been working here to you."
,"I'll do my very best to increase sales!"
"#01162","I understand..."
,"I'll return the staff who had been working here to you."
,"I'll work my hardest!"
"#01163","Understood!"
,"I'll return the staff who had been working here to you."
,"You can look forward to big things from me--and big sales!"
"#01164","Boss!"
,"I found some part-time staff who may fit the bill!"
"#01165","Thank you! I'll be the best part-time worker you've ever seen!"
"#01166","R-Really...? You're hiring me?!"
,"This is a dream come true! I'll work really hard--I promise!"
"#01167","I'll work my fingers to the bone! Well, maybe not. But I will work hard!"
,"I can't wait to get started!"
"#01168","Boss!"
,"Somebody who says they used to run a rival store wants to talk to you!"
"#01169","I am humbled."
,"I'll make the most of my experience managing many different stores. I won't fail this time!"
"#01170","Thank you for hiring me!"
,"With my talent, your store is guaranteed to be a success!"
"#01171","Yes!"
,"I researched you thoroughly when I was your rival, so I should have a head start!"
"#01172","We're currently searching for new candidates."
,"Please wait a bit longer."
"#01173","What type of store would you like to manage?"
"#01174","Let's assign some staff to your new store."
"#01175","You're ready to open! Let's make this place a big success!"
"#01176","I tried assigning a staff member who was in the waiting room."
,"Try and keep a good balance between all of your stores."
"#01177","You don't have enough <co=0070c0>manager-class</co> staff members."
"#01178","You don't seem to have any <co=0070c0>management goods</co>."
"#01179","You don't seem to have any <co=0070c0>equipment</co>."
"#01180","You don't seem to have any <co=0070c0>upgrade items</co>."
"#01181","The results of your <0> introduction have arrived!"
,"Let's take a look..."
"#01182","Wow! It was a success!"
"#01183","It looks like it failed..."
,"Too bad. We'll have to try again."
"#01184","It looks like this location isn't suitable. Try another."
"#01185","It's almost time for the mayoral election."
,"Who should we nominate as a candidate?"
"#01186","<0> has been elected the new mayor."
"#01187","Voting for the new mayor is about to begin!"
,"Let's all keep our fingers crossed for <0>."
"#01188","Gulp..."
,"I hope all of that hard work will pay off..."
"#01189","Unfortunately, it didn't work out..."
,"If only their stats were a bit higher, maybe they could've won..."
,"You can try again in the election 3 years from now!"
"#01190","You can't add any more."
"#01191","Leave it to me!"
"#01192","Hee hee! I'm ready!"
"#01193","I'm looking forward to it!"
"#01194","Awesome! I can't wait!"
"#01195","You made the right choice!"
"#01196","Choose the participants!"
"#01197","<0>? Good idea! It could contribute to the town's development!"
,"For a while, this should make it easier to build a facility like a new <1>!"
,"We'll start discussing it right away!"
"#01198","I see..."
,"We'll discuss stopping <1> construction at the next meeting."
"#01199","I see. Yes, that kind of introduction should be very effective."
,"We'll have a serious discussion about this at our next meeting."
"#01200","Talks with the facility to be introduced are now complete!"
,"You just have to select <co=0070c0>""Store"" > ""Introduce""</co> from the menu."
"#01201","I see! Everybody likes a good <0>..."
,"This should be a good chance to make a name for <town>!"
,"We'll start discussing it right away so we can put our name in the running!"
"#01202","It's time for the location for the <0> to be announced."
,"Let's go to the hall right now!"
"#01203","We had another successful <0> this year..."
,"And we would love for <town> to host us again next time!"
"#01204","<0>? Good idea! It could contribute to the town's development!"
,"That should increase our population."
,"We'll start discussing it right away!"
"#01205","<0>? Good idea! It could contribute to the town's development!"
,"That should help increase land prices and let you open bigger stores."
,"We'll start discussing it right away!"
"#01206","<0>? Good idea! It could contribute to the town's development!"
,"If customers have more spending money, it should help boost your sales."
,"We'll start discussing it right away!"
"#01207","<0>? Good idea! It could contribute to the town's development!"
,"It should help our residents feel better about using your store."
,"We'll start discussing it right away!"
"#01208","<0>? Good idea! It could contribute to the town's development!"
,"For a while, construction in town should go faster!"
,"We'll start discussing it right away!"
"#01209","<0>? Good idea! It could contribute to the town's development!"
,"<1>-type facilities will evolve and be remodeled."
,"We'll start discussing it right away!"
"#01210","<0>? Good idea! It could contribute to the town's development!"
,"The more tax income we get, the more the town's construction will advance."
,"We'll start discussing it right away!"
"#01211","<0>? Good idea! It could contribute to the town's development!"
,"Reducing taxes will give customers more money to spend when shopping."
,"We'll start discussing it right away!"
"#01212","This policy requires a few more <0>-type facilities in town."
"#01213","Actually, ""<0>"" is currently in progress."
"#01214","Oops! To dismiss someone, they can't be performing research or on a treasure hunt."
"#01215","Oh dear!"
,"Store #<0> has been defeated by its rival..."
"#01216","We just got some information about a contest!"
"#01217","Congratulations on winning the <0>!"
"#01218","Unfortunately, you lost..."
,"Try training your staff a bit more and give it another try!"
"#01219","Unfortunately, you lost..."
,"Try researching your products a bit more!"
"#01220","It's time to start remodeling."
,"Look forward to your brand-spanking new store!"
"#01221","Store #<0> has been remodeled."
,"Let's put our hearts and souls into making it the best store it can be!"
"#01222","Your store <co=0070c0>met its quota!"
,"Now you can manage it without any time limits!"
"#01223","You don't seem to have any staff..."
"#01224","=#01177"
"#01225","You don't seem to have any staff."
"#01226","What's this...?"
,"You don't have a cash register in this store. The customers don't know how to pay!"
,"Let's place one right away!"
"#01227","By the way, boss..."
,"Have you thought about what to do about the museum's <co=0070c0>admission fee?"
,"It can be a very important source of income, so the right balance is key!"
,"You can change it by <co=0070c0>selecting the cash register."
"#01228","To dismiss a manager-class staff member, you must first assign them to the waiting room."
"#01229","Actually, you seem to be pretty well staffed at the moment."
,"If you must search for new staff, you'll need to dismiss some first."
"#01230","Select a product to stock on the shelves."
"#01231","You don't have any products that can be stocked."
,"Performing research can sometimes lead to the discovery of new products."
"#01232","The new budget for <town> has been decided."
"#01233","Wow... This looks like a really comfortable room."
,"This should help me concentrate on my work!"
"#01234","Awesome! Now I can work without getting tired out!"
"#01235","Nice! I can't believe what a cool room this is!"
"#01236","Starting next month, the hours of all stores will be <co=0070c0><0>:00 to <2>:00</co>."
"#01237","Starting next month, all stores will be open <co=0070c0>24 hours</co> a day."
"#01238","The next rank-up prize is about to be announced!"
"#01239","A lovely <0> is your prize!"
,"And here's what's inside!"
"#01240","Keep working on going up in rank!"
"#01241","<0> is currently performing research. You'll have to wait a bit."
"#01242","I've got this!"
"#01243","No problem!"
"#01244","I can't wait to get to work!"
"#01245","Congratulations on another year of hard work."
,"Here is the yearly report for <0>."
"#01246","Give badges to the staff members who worked hardest during the year!"
,"Badges really help staff members' future development, so choose wisely who to give them to."
"#01247","Give badges to the staff members who worked hardest during the year!"
"#01248","Now for the score announcement."
"#01249","After the 20th year, your online ranking high score will not be refreshed, and cannot be registered."
,"If you want to try for a high score, select ""New Game"" from the title screen!"
"#01250","Let's try to make even higher sales next year!"
"#01251","It looks like the cart is too small."
,"Try selecting a bigger cart if you want better effects."
"#01252","Your staff are out searching for treasure."
,"Please wait until they return."
"#01253","You don't seem to be ready to serve <0>."
,"Make sure you've placed the required <co=0070c0>cookware and materials</co> in your back room."
"#01254","Select the type of materials."
"#01255","You are missing the following item: <0>."
"#01256","There are no customers you can target with ads now."
"#01257","Thanks for your business..."
,"The town has developed enough to unlock some new ad types. Give them a try!"
"#01258","You already have an ad in place. Please wait a bit."
"#01259","The ad has been placed."
,"Let's wait and see if it attracts anyone to the store!"
"#01260","Hmm... I came because of your ad, but..."
,"This just isn't quite the kind of store I'm looking for."
"#01261","Uh-oh. It looks like the target of our ad wasn't quite satisfied."
,"Increase the quality of the store's products and try again!"
"#01262","Boss!"
,"That ad must have been effective... A new customer is approaching the store!"
"#01263","The material was changed to <0>."
"#01264","You changed the entrance fee."
,"Changes in entrance fees will be reflected next month."
"#01265","Boss! Let's keep at least one store going!"
"#01266","It seems like assigning one manager-class employee to each store works best."
,"Swap a manager for another to assign him or her to a different store."
"#01267","That manager has already been put in charge of another store."
"#01268","You can only manage up to <co=ff0000><0></co> stores at once."
,"To start another store, you must <co=ff0000>release one</co>. Select ""Store"" > ""Store Info"" from the menu."
,"The store you release will be changed into an ""auto-pilot"" store."
"#01269","You can have up to <co=ff0000><0></co> ""auto-pilot"" stores."
,"You may want to close down a store with low profits."
"#01270","You can't release a store that's less than 1 year old..."
"#01271","You don't have enough manager-class staff to run for mayor."
"#01272","They said they can't run in an election and manage a store at the same time."
,"Admirable sense of responsibility!"
"#01273","To refill your <0> stock, you require ""<1>"" materials."
,"Build a material depot in your back room to get ""<1>"" materials."
"#01274","<0>'s growth type is already <1>."
"#01275","Changing <0>'s growth type..."
,"...will require <1> staff badges."
"#01276","This store doesn't deal in food."
"#01277","You don't have the rights to open a new store."
"#01278","To change to the next cart, you first need to put an item in the cart."
"#01279","You cannot place that, as you have reached the maximum <co=0070c0>furnishings cost</co>."
,"As the town develops, the maximum cost <co=0070c0>will increase</co> and you will be able to build bigger stores."
"#01280","You cannot place that, as you have reached the maximum <co=0070c0>Staff Cost</co>."
,"As the town develops, the maximum cost will increase."
,"Please move someone to the <co=ff0000>waiting room</co>."
"#01281","You cannot place that, as you have reached the maximum Staff Cost."
"#01282","Oh! Boss!"
,"Everybody in town is talking about how well the staff at Store <co=0070c0>#<0></co> work together!"
,"The store's popularity is sure to skyrocket!"
"#01283","<town> is an area with beautiful natural scenery."
,"Let's pick out a location for our first store!"
,"You'll probably want to choose a location <co=0070c0>near houses or other buildings</co>."
"#01284","<town> is surrounded by nature, and the centrally located station should spur development."
,"Let's pick out a location for our first store!"
,"A location <co=0070c0>near the station</co> is likely to get the most traffic."
"#01285","<town> is a thriving, well-balanced town with a centrally located station."
,"Let's pick out a location for our first store!"
,"A location near the station is likely to get the most traffic."
"#01286","With its lake and river, <town> is quite an agreeable place to live."
,"Let's pick out a location for our first store!"
,"You'll probably want to choose a location <co=0070c0>near the station or zoo</co>."
"#01287","<town> is a thriving town with an airport."
,"Let's pick out a location for our first store!"
,"You'll probably want to choose a location near the <co=0070c0>station or airport</co>."
"#01288","<town> is a world-famous metropolis."
,"Let's pick out a location for our first store!"
,"You'll probably want to choose a location <co=0070c0>near the station or amusement park</co>."
"#01289","Let's make this place a big success!"
,"I think we can expect some customers very soon!"
"#01290","You don't have shelves for putting items on sale..."
,"Once you have shelves in your store, you can have a sale."
"#01291","You don't have any shelves that you can use the <0> on."
,"Place some shelves in your store that can be refilled."
"#01292","You don't have any shelves that you can use the <0> on."
,"Try placing a variety of furnishings in your store."
"#01293","You placed a sale card!"
,"Prices will be lower for about 2 months, which should hopefully attract the attention of customers."
"#01294","You don't have any dishes to serve to customers..."
,"Please select at least one."
"#01295","Leave Store <co=0070c0>#<0></co> to me!"
"#01296","Placing a <co=0070c0>cash register</co>?"
,"Registers are important furnishings used by customers to pay for their purchases."
,"Having at least two registers in a store will help checkout go more smoothly!"
"#01297","Tap the item you want to move."
,"The direction it faces is also important."
"#01298","Placing a <co=0070c0>material depot</co>?"
,"Depots are used to store various types of materials used to make products."
,"If you don't have enough materials for a product, <co=ff0000>you won't be able to sell it!"
,"Depots are refilled in the morning and evening."
"#01299","Placing a <co=0070c0>staff room</co>?"
,"Staff rooms are places where your employees can rest and recuperate when they are tired."
,"Place furnishings nearby that boost the environment to increase their recovery ability!"
"#01300","You have placed some <co=0070c0>cookware</co>."
,"These furnishings are required for preparing food."
,"At present, you are able to serve these foods."
"#01301","You may also need materials. In that case, try placing a <co=ff0000>materials depot</co>."
"#01302","You also need to <co=0070c0>select the dish</co> you will be serving."
"#01303","Placing an <co=0070c0>outside furnishing</co>?"
,"These can help attract customers who might not have originally intended to go into your store."
"#01304","Placing a <co=0070c0>bike rack</co>?"
,"Place one of these outside your store to increase the satisfaction of customers coming on bikes!"
"#01305","This is your first time performing research for <name>, isn't it?"
,"Research helps improve products, and is performed by manager-class staff while the store is closed."
,"This can have a big effect on product prices and customer satisfaction."
,"When you have items, try and research as much as possible!"
"#01306","Hello! Thank you for coming!"
,"I'd love to hear your opinions about how to help <town> develop!"
"#01307","Welcome!"
,"Here you can buy the rights to open new kinds of stores such as bookstores and noodle bars."
,"Feel free to look around!"
"#01308","Would you like to set your <co=0070c0>hours of operation</co>?"
,"If you want to maximize sales, <co=0070c0>extend</co> your hours."
,"If you want to concentrate on research, make your hours <co=0070c0>shorter</co>."
,"Select the schedule that works the best for you, depending on the situation."
"#01309","For museums, you can select an entry fee."
,"Reducing the fee may attract more visitors."
,"Try and keep a good balance!"
"#01310","Boss! What are we gonna do?!"
,"A <co=ff0000>rival</co> store has appeared near Store #<0>!"
,"We'll have to spruce up our store's interior so we won't lose customers to them!"
"#01311","It looks like all products have <co=ff0000>already been placed</co>."
,"In that case..."
,"Try using research to increase the <co=0070c0>number of existing products</co> you can place!"
"#01312","Not bad for a first try!"
,"Keep using research to make this store the best it can be!"
"#01313","Ah! There's something special about that one..."
,"<co=0070c0>It emits ♪!"
,"Customers passing in range of ♪ will tend to spend more!"
,"Try to keep the paths that your customers take in mind when placing these furnishings!"
"#01314","Wow!"
,"There's a <co=0070c0>spot</co> in <town> where they say you can find hidden treasure!"
"#01315","We should totally go looking for some!"
"#01316","Boss! We just heard that they discovered some treasure!"
"#01317","Ah! You want to research a new type of product!"
,"Let's get to work, then!"
"#01318","Heh heh. Welcome."
,"I sell coins that I have collected from various sources."
,"Please pick them up and feel their weight. That's quality there!"
"#01319","Store #<0> has a sales quota to meet!"
,"You need to reach <co=0070c0><2></co> in sales within <1> months."
,"Keep at it and I'm sure you can meet the quota!"
"#01320","Here you can <co=0070c0>prioritize</co> the duties of each staff member."
,"You can tell staff members to concentrate on the cash register, customer service, and so on."
"#01321","Here you can choose where to <co=0070c0>assign your staff</co> members."
,"Tap the left or right arrow to select the <co=0070c0>waiting room</co>."
,"If you're losing money, you can assign staff to the waiting room to save on their salaries."
"#01322","You got <co=0070c0>bonus points</co> for leveling up, so I went ahead and assigned them! Make changes if you like."
"#01323","Welcome! Do you need any <co=0070c0>management goods</co>?"
"#01324","Welcome! Do you need any <co=0070c0>equipmen</co>t for your staff?"
"#01325","Welcome! Do you need any <co=0070c0>upgrade items</co>?"
"#01326","Welcome! Feel free to sell anything that you no longer need!"
"#01327","Insufficient stamina points..."
"#01328","I'm sorry. I'm just a little tired. Maybe next time?"
"#01329","Thanks for coming!"
,"Changing the outside appearance of your store alters its effect on surrounding buildings."
,"It might even change the town's atmosphere! At least that's what I've heard..."
,"You might want to try a variety of different layouts."
"#01330","Boss!"
,"Without any <co=0070c0>cookware</co>, we won't be able to serve any food."
,"You'd better place some in the back room as quickly as possible!"
"#01331","You have to have at least 1 manager-class staff member!"
"#01332","Boss, I've been taking night classes at a business school."
,"They said there are 3 secrets to successful management."
,"The first was that there is nothing more important than <co=0070c0>staff development</co>."
,"That really made an impression on me! So much so that I forgot the other two secrets..."
,"But anyway, try selecting <co=0070c0>""Staff"" > ""Power Up""</co> from the menu to help your staff develop!"
